date,Brampton,Caledon East,Downtown Yonge,Etobicoke Lakeshore,Golden Mile,Kingston Road,Liberty Village,Markham,Mississauga Dundas,Newmarket,North York Centre,Oakville,Pickering,Pickering Town Centre,Scarborough Town Centre,Schomberg,Spadina,Square One,Sutton,Thorncliffe Park,Uxbridge,Vaughan Mills,West Queen West,Weston,Yorkdale
2020-12-01,45.29081432,74.18055279,26.58839646,59.03582185,51.06790418,61.6262299,37.85458834,41.33327094,46.83178276,48.50202219,57.87936879,66.22535341,53.6896955,55.58090667,20.08852268,27.69162738,37.11910148,19.54612695,84.18025793,65.08816694,74.8461284,26.04197966,37.24977768,57.84708361,20.49249004
2021-01-01,33.52250846,67.16186595,23.94291124,52.43849747,46.20726278,51.86101524,29.20463431,36.1352411,42.5372585,44.14237839,51.48252812,32.99372932,40.80820484,19.18415653,17.90713885,32.12751572,29.02780011,17.33204176,87.11785245,68.24765137,45.32714713,3.621754182,31.85796835,44.30882417,16.10991465
2021-02-01,31.7701944,59.71233928,25.12656112,45.24511566,43.44991574,50.4672077,25.6061298,36.29623213,42.35674436,44.07184622,52.3466621,43.93884834,44.85484474,40.91128615,17.22973246,37.1157634,32.14092653,18.27801344,72.97713037,64.43538665,73.32996723,16.69823421,33.24832125,44.3663916,15.42443524
2021-03-01,34.88086332,46.98601054,29.77184902,60.95231793,51.89638389,59.88336937,31.49007691,46.47273198,53.39995724,64.65581402,54.44149443,57.42019053,49.09416572,47.22634494,34.17877849,37.82689664,39.34838993,37.1786695,80.09923283,70.07552702,82.09031328,45.19916376,38.70144792,46.28516812,34.64617825
2021-04-01,24.6755395,54.59670687,20.86390724,52.28183355,38.45971264,50.71982025,31.8348309,33.17487071,42.26645697,29.97759358,41.842395,30.69457425,43.25698608,20.25286533,18.78858871,19.50934142,32.10703298,15.55639374,48.50409294,51.13311768,45.99451438,9.382228141,29.19621722,38.29373025,16.84074375
2021-05-01,18.06944891,41.67108835,18.16969273,45.664058,27.98226526,44.0789892,29.18954611,25.49847353,36.34199912,17.97121967,39.77300262,24.18535208,34.17312068,13.09449037,12.85112339,14.77756624,29.46529817,10.63790044,37.00237103,41.45506879,37.60914462,3.067276524,21.65637649,35.24673068,11.71341189
2021-06-01,28.90154358,66.97002028,26.99982447,60.13919321,45.51567397,70.46850256,29.93840314,33.38189147,51.87887692,38.32978038,56.72007123,39.28333407,35.66473298,24.86843575,26.19027442,76.33963402,34.03041087,21.67519164,102.9792543,67.958678,57.95788461,16.98839647,33.48769754,44.89204042,22.63118931
2021-07-01,29.17718905,79.57256883,40.47724583,62.85724395,49.88543784,63.45192308,29.31737354,41.020735,59.0586058,43.31333813,58.95494309,50.29478916,36.46258493,63.75213955,55.96811901,113.5729949,41.27334432,60.25662827,96.13421465,64.52932807,64.73018008,65.14620702,37.45939706,41.53230208,60.33260402
2021-08-01,28.7484215,66.10065131,46.91879078,56.65687463,55.26291351,57.59004642,26.44260536,50.25744298,62.97338192,48.01828518,58.63582909,58.5293488,40.23076844,67.83348443,55.37121883,62.36034746,42.38865492,67.51169262,72.00393967,62.68497319,60.15273159,78.21675997,37.59739781,41.0389025,69.09962587
2021-09-01,33.16011213,92.35966349,47.74027232,59.04221084,53.09779758,74.17801551,30.70165381,48.316056,63.12112385,52.6636628,58.90022349,58.99111579,37.25581747,74.56914221,59.23236333,57.47449164,51.62464524,65.39248975,103.3408814,63.71105853,71.66893999,73.19844462,40.99708912,45.87759187,65.5407888
2021-10-01,39.57135804,78.27402385,47.1737028,62.57040612,54.84090109,70.37827713,33.26234681,48.5980494,59.827626,58.94060399,64.85536014,69.34144096,41.15119571,75.67073834,56.87295885,75.67993676,54.90781474,65.95897966,78.04724783,65.20203266,66.61226935,83.85157923,41.39989222,42.04469959,68.87329623
2021-11-01,42.21590553,103.1211609,49.74090379,75.83809282,53.13827318,78.36030117,34.54507789,48.14151498,54.78152605,55.80727025,71.23771439,73.47445475,37.00760004,74.96898349,63.58533535,32.22106262,56.52912384,70.58121685,102.1515384,67.60441963,80.6188618,85.0534901,36.91752645,51.09945893,73.48589745
2021-12-01,52.59679854,117.2612903,54.30205091,80.57529988,60.11938975,82.34361574,34.00323872,55.9856375,59.7098528,63.16510732,74.56594756,84.6380338,39.8649061,78.09196161,70.08888257,55.61552178,53.76042668,79.98850002,78.0427496,84.42749885,82.83787205,82.12539694,37.48198869,52.15795542,84.36398236
2022-01-01,27.79796326,104.6108101,32.16459452,51.2244884,48.86171282,70.56874544,22.40337686,39.14535375,50.16024087,29.47450146,52.10637554,39.27975165,32.53637489,45.41175004,42.88102155,90.85754107,34.31153072,53.44750161,67.73693408,74.38556351,50.42782129,54.33464383,28.26000902,39.83239815,42.82286178
2022-02-01,36.94451351,101.3336025,46.42187358,69.02343811,54.76454886,80.34629572,33.60780925,48.67121894,59.6055757,42.33350879,58.07721984,59.49529312,39.37469754,66.83305004,53.51221829,60.11599441,46.79347996,69.21047524,79.9056436,76.51511468,78.66943868,70.42210484,44.68539205,39.44714825,63.18657585
2022-03-01,40.50406329,78.79688044,60.78924894,69.28478277,60.45930507,86.09902737,38.19239564,57.10983051,69.36896377,54.21923699,66.17265694,64.09798182,39.54904289,76.31868754,64.48429521,71.34685393,59.798352,75.11050901,96.37292166,82.84228628,77.29721905,79.17141658,52.03602018,46.91930274,77.08606833
2022-04-01,45.98447649,74.12397521,62.96910793,81.11482313,68.21559939,88.5256073,42.20774096,59.09022344,76.02057663,63.08734291,66.85284465,71.91631769,39.38148508,77.99657615,69.54541178,72.85930814,68.98634422,79.99267857,84.07839359,91.66134689,81.34343388,92.06576343,54.57897974,46.9112048,79.57772157
2022-05-01,46.19322367,76.39336232,66.06183017,85.43120248,70.1402357,96.61997547,45.59736785,58.40210796,73.75339808,59.09239085,83.52394989,67.62325784,45.78328796,82.79894343,69.67051813,77.50313241,63.33407046,82.65288741,90.58282564,95.96134995,83.53570119,98.32299514,60.25069953,55.53329384,84.84444342
2022-06-01,41.19601311,75.07076806,57.58554393,78.24082279,66.81193895,89.82282097,41.07172331,55.61091852,70.12967341,51.17046781,72.83846438,61.27698258,42.76476088,78.3069357,65.90916695,75.11500599,55.28769962,73.26317078,91.64398627,88.12973464,79.78821972,84.19935489,56.05945709,51.43334676,78.03728346
2022-07-01,40.0103288,80.95693812,63.84623093,73.87343984,66.04209316,79.38149671,40.61817081,51.22997848,68.70691139,47.36723628,66.79678712,66.82533913,43.11761692,89.42803284,69.92043278,108.8651305,59.17628727,86.03732716,71.87277049,86.39253216,75.99859187,93.65370588,55.96344049,52.0246943,85.39690649
2022-08-01,42.29648173,81.91852488,57.30637425,86.33375835,69.66633744,86.59477354,39.57055386,52.98717079,66.55470269,52.88019169,69.75912217,73.78353078,47.0932396,92.0794952,58.31142075,85.0329288,48.86485758,66.93332863,90.70882752,88.51259658,85.27579775,90.30828609,57.81140326,57.89307185,70.92940736
2022-09-01,48.90218763,78.47866013,53.82427382,91.45552941,72.6767787,90.34291126,42.48273352,58.40166454,71.59524223,58.33299135,70.18292302,73.16184689,47.3913011,106.2093459,63.07774526,68.5244199,55.2824227,64.01948415,106.1067611,90.28198652,72.31805517,72.66673637,56.16680726,62.68649969,67.6087579
2022-10-01,56.71920829,121.452201,62.82568392,104.126375,86.72579484,97.45788548,53.61914063,63.01111713,77.76192093,87.4227428,83.74460759,103.9915088,59.64838201,101.8529482,75.66961211,87.74994518,72.49297159,89.94061966,92.11978889,100.2165441,89.8475895,114.1884937,69.27862817,84.21676421,91.05015971
2022-11-01,74.15910041,148.1090766,59.2902801,137.7151717,79.13010309,118.4096386,54.68508608,60.58488097,72.30986328,110.0208529,93.35577256,150.0923334,57.26048073,100.3446658,67.10848148,63.81952904,82.46875942,71.22867599,159.538563,100.644584,152.8035251,102.6940852,90.37778487,93.8464343,74.34643482
2022-12-01,89.80192582,139.2236216,52.96305601,136.854693,74.20819093,120.1876622,54.27191887,64.5268418,71.29927717,111.4645785,96.39193665,143.9112887,55.28442072,93.75175879,39.77218409,104.6879312,77.60295124,39.84375077,121.9196993,95.00520384,144.3462421,62.62593668,91.21816012,77.20829228,41.16435154
