date,downtown main streets,malls,neighbourhood main streets,small town main streets,100Ave,104Street,104StreetDowntown,107AvenueNW,118AlbertaAve,118Beverly,124StreetNW,137AvenueNW,149StreetNW,50Ave,50StreetBeaumont,50StreetStonyPlain,82AvenueNW,97StreetDowntown,97StreetNorth,BonnieDoonSC,Boul St. Martin,Brampton,Caledon East,Carrefour Laval,Carrefour Richelieu,Centre Rockland,Downtown Yonge,Etobicoke Lakeshore,Fairview Pointe Claire,Golden Mile,JasperAve,Kingston Road,KingswayMall,Liberty Village,Mall Champlain,Markham,Mississauga Dundas,Mont Royal,Newmarket,North York Centre,Notre Dame,Oakville,ParsonsRoadSW,Pickering,Pickering Town Centre,Rue Fleury,Rue Ontario,Rue Richelieu,Rue Saint Catherine,Rue St Anne,Rue St Charles,Rue St George,Rue St Paul,Rue Wellington,Scarborough Town Centre,Schomberg,SherwoodDrive,SouthgateCentre,Spadina,Square One,St Denis,St Eustache,StAlbertRoad,StonyPlainRoadNW,Sutton,Thorncliffe Park,Uxbridge,Vaughan Mills,West Queen West,WestEdmontonMall,Weston,Yorkdale
2020-11-01,34.58454942,48.83619057,54.91075606,52.89192452,64.93147052,38.05164574,33.14984872,76.13817519,58.36865844,71.52891508,54.06182016,69.05229623,67.43431119,54.66926483,56.22673771,45.1679971,47.24778568,23.05002538,58.22477799,44.94156598,46.3073798,34.91821553,74.97639276,56.97465926,40.23060048,67.8220905,28.33827076,62.10918231,53.18982271,51.63773463,37.84549298,72.87823871,54.57002841,36.08479288,51.44292174,38.69356466,45.95396989,50.86112799,51.33573437,54.34294851,36.34956637,69.24071747,54.51334224,51.96349426,57.45679653,73.0764939,54.12042065,41.94658506,25.89755756,41.02800537,31.66227551,31.85896486,34.73838521,43.02456674,33.5424971,33.86048725,40.84895274,49.02231075,38.28781277,35.96599805,32.34534245,20.71189335,50.59906205,64.59047672,86.76704736,66.9955085,82.55824805,49.93721962,37.65575683,51.35796085,69.13883659,37.25219593
2020-12-01,35.08433392,41.54937768,51.02751349,53.608227,86.54399079,30.19338174,29.3991729,47.28828439,49.04486779,62.7409615,47.45679861,66.10491022,87.12838808,53.60228604,54.60746242,37.19493831,39.89084374,21.04933254,54.74430169,47.49910399,40.11917111,45.29081432,74.18055279,44.98088841,38.84568658,70.34224615,26.58839646,59.03582185,44.46423218,51.06790418,34.01735075,61.6262299,53.31671982,37.85458834,46.38148724,41.33327094,46.83178276,43.95976394,48.50202219,57.87936879,40.72632292,66.22535341,51.52188712,53.6896955,55.58090667,62.51211357,43.53933964,41.3924723,29.07839677,43.16963872,31.17435781,40.64061272,35.72034509,47.76839644,20.08852268,27.69162738,35.10540688,47.30404799,37.11910148,19.54612695,36.4952971,25.24875613,45.83447739,61.93734329,84.18025793,65.08816694,74.8461284,26.04197966,37.24977768,46.80684921,57.84708361,20.49249004
2021-01-01,29.47899002,24.22382566,47.18605218,48.78863464,67.13689246,34.2442818,27.07584604,43.64229275,46.66391072,76.32889527,58.11134541,68.7110593,98.80982622,53.83534507,57.70102976,51.57622239,32.45295309,28.46170268,56.89539441,49.70208162,23.45385384,33.52250846,67.16186595,8.039806533,15.66947023,20.53217372,23.94291124,52.43849747,8.573182925,46.20726278,25.02570354,51.86101524,47.59446646,29.20463431,20.03149961,36.1352411,42.5372585,37.03891308,44.14237839,51.48252812,39.45810757,32.99372932,46.64613367,40.80820484,19.18415653,54.05537266,41.06092378,45.35520157,13.1012797,39.27277476,22.76945395,21.49618086,26.32954766,40.89413401,17.90713885,32.12751572,52.73649861,48.04971346,29.02780011,17.33204176,31.15882922,17.35558758,47.79269956,55.39913553,87.11785245,68.24765137,45.32714713,3.621754182,31.85796835,46.78615871,44.30882417,16.10991465
2021-02-01,33.45792327,42.86140344,50.33461815,52.52169364,61.58175162,44.1744336,31.28311407,64.17481694,54.86772746,71.62899942,67.69107152,76.71944541,73.51112841,61.63449967,74.34580022,48.77854253,41.72976321,29.16456382,59.59322589,45.68603498,37.04273464,31.7701944,59.71233928,47.97466603,42.04190853,104.8782506,25.12656112,45.24511566,38.77743979,43.44991574,29.21619197,50.4672077,51.6892819,25.6061298,58.85530401,36.29623213,42.35674436,44.21979314,44.07184622,52.3466621,47.83499194,43.93884834,46.09580676,44.85484474,40.91128615,66.26127481,43.68125383,55.91142725,22.45250922,36.05677746,31.64874653,30.68718108,35.30917728,52.60323553,17.22973246,37.1157634,52.25824083,47.97668988,32.14092653,18.27801344,37.55632815,18.12914362,50.02181492,57.94860096,72.97713037,64.43538665,73.32996723,16.69823421,33.24832125,53.63837088,44.3663916,15.42443524
2021-03-01,36.66143426,50.72641491,55.75673902,59.20676633,69.39118819,46.97703187,27.84791882,54.88685473,52.16263462,68.76830066,66.54862066,79.68207264,88.42028676,70.65811633,95.69504646,51.6334371,45.26613623,30.51883386,63.72312721,49.6824477,38.31561681,34.88086332,46.98601054,56.58041197,49.5240985,93.82922679,29.77184902,60.95231793,49.00860883,51.89638389,32.59997049,59.88336937,50.39851793,31.49007691,63.04194129,46.47273198,53.39995724,52.87547482,64.65581402,54.44149443,44.00166028,57.42019053,48.02761487,49.09416572,47.22634494,73.67974106,50.06628742,71.0619652,26.87776309,47.7735405,38.3121909,34.67987011,41.85367106,56.96299776,34.17877849,37.82689664,51.91560596,50.35586709,39.34838993,37.1786695,44.52414895,22.58557878,54.56200321,63.58837434,80.09923283,70.07552702,82.09031328,45.19916376,38.70144792,49.31955374,46.28516812,34.64617825
2021-04-01,34.61500431,42.58090983,51.16678876,52.94908378,70.13277142,41.71049191,31.30556007,49.33769698,54.16641923,74.75235058,58.07439884,83.81707027,107.7375583,56.67786848,89.62145259,66.3103649,40.7860002,33.44407683,72.36506758,53.02665115,45.81217206,24.6755395,54.59670687,51.11505466,54.58107027,86.83925685,20.86390724,52.28183355,55.36825457,38.45971264,28.48184652,50.71982025,54.20574814,31.8348309,72.46743872,33.17487071,42.26645697,44.88044892,29.97759358,41.842395,57.17621805,30.69457425,50.69825971,43.25698608,20.25286533,74.55863729,48.43529849,63.09389533,25.21200985,53.2820737,48.61664768,44.34899926,35.815408,47.62238563,18.78858871,19.50934142,65.96184211,45.44661159,32.10703298,15.55639374,42.68176195,23.31692402,53.14791399,59.55933921,48.50409294,51.13311768,45.99451438,9.382228141,29.19621722,42.26183208,38.29373025,16.84074375
2021-05-01,35.70844289,41.03588405,49.85490871,54.96563692,66.18861947,47.69783614,38.42876208,52.65238926,56.47095091,68.04000441,91.70182214,94.7243075,88.64287888,75.22672828,106.1571217,68.70287703,37.29106632,30.29095074,74.8825275,56.25756307,51.20262142,18.06944891,41.67108835,57.7976791,52.32449268,65.89909255,18.16969273,45.664058,55.72042962,27.98226526,29.77831367,44.0789892,66.67823546,29.18954611,75.26911836,25.49847353,36.34199912,44.96815281,17.97121967,39.77300262,61.88638394,24.18535208,49.25246476,34.17312068,13.09449037,86.82554558,56.8970534,66.11513232,30.50568267,63.13170778,40.05290855,44.26229408,34.75537301,48.65625025,12.85112339,14.77756624,50.55556688,50.16503051,29.46529817,10.63790044,50.54986602,38.74299215,58.80197598,73.86274481,37.00237103,41.45506879,37.60914462,3.067276524,21.65637649,43.02653268,35.24673068,11.71341189
2021-06-01,37.09178753,52.86703409,55.18807036,63.91958174,60.72623463,45.02719082,32.28963173,54.43510697,46.07461792,64.83214751,57.46371439,82.01446563,91.80796566,59.35464245,91.56285151,40.26070902,48.25864821,18.55110211,68.52046396,60.06746087,54.49535511,28.90154358,66.97002028,76.95771128,49.66710658,92.87166356,26.99982447,60.13919321,69.73699108,45.51567397,32.22234332,70.46850256,67.22708345,29.93840314,68.49410471,33.38189147,51.87887692,50.92486898,38.32978038,56.72007123,54.95640718,39.28333407,60.27707127,35.66473298,24.86843575,95.31202174,53.70822872,61.14358638,37.19419961,65.90268069,58.85848492,38.09412938,36.46483744,56.57229497,26.19027442,76.33963402,50.89290904,72.64436744,34.03041087,21.67519164,48.64243171,45.74335371,62.84097443,58.6117058,102.9792543,67.958678,57.95788461,16.98839647,33.48769754,70.11850072,44.89204042,22.63118931
2021-07-01,41.18174124,70.74737045,55.65354779,72.7804179,52.26138873,67.32909688,36.3372656,46.09321054,41.96550756,63.90222877,52.69199254,68.30907978,80.58803114,58.75250856,106.0731283,55.21376882,56.88408756,21.37370106,65.79422094,59.03198689,61.86223306,29.17718905,79.57256883,91.5918787,57.45846253,84.22245393,40.47724583,62.85724395,82.40005722,49.88543784,33.68949496,63.45192308,68.92640503,29.31737354,79.21321664,41.020735,59.0586058,53.59832953,43.31333813,58.95494309,51.71586338,50.29478916,70.84548149,36.46258493,63.75213955,81.21611719,54.76560275,74.00112352,44.23763381,73.10802558,62.55696367,39.93948577,47.09357964,62.00190829,55.96811901,113.5729949,42.21303766,66.81472367,41.27334432,60.25662827,48.52870844,60.00562701,61.1542465,52.44573164,96.13421465,64.52932807,64.73018008,65.14620702,37.45939706,95.34830385,41.53230208,60.33260402
2021-08-01,44.02830717,76.17575227,56.12590686,63.72911288,43.43674084,56.60045813,41.55632464,37.49384727,47.95143302,63.26515507,60.42370956,67.09062963,84.80982137,61.67043584,99.09377707,65.90677962,56.83417982,23.0973367,66.47817939,55.50470239,61.08568898,28.7484215,66.10065131,94.25742465,47.98366215,89.78994832,46.91879078,56.65687463,81.78433924,55.26291351,43.75631453,57.59004642,80.76596628,26.44260536,79.62232612,50.25744298,62.97338192,52.80271849,48.01828518,58.63582909,49.85711073,58.5293488,71.25511836,40.23076844,67.83348443,70.51705888,58.45030877,78.42838768,49.79245903,67.2813937,63.86733816,42.23130684,52.29335322,59.89753003,55.37121883,62.36034746,47.12525097,80.84245527,42.38865492,67.51169262,49.57259986,46.08286289,60.38731481,53.97861501,72.00393967,62.68497319,60.15273159,78.21675997,37.59739781,117.8769256,41.0389025,69.09962587
2021-09-01,43.71932093,71.36746535,55.18788002,72.48679465,48.87201799,42.26437998,30.92825409,39.2453199,41.431186,57.73408831,63.36213526,66.54542754,51.83184478,59.32467129,103.8000829,60.46579822,55.0807489,18.50877037,64.2775714,59.60254049,57.10402753,33.16011213,92.35966349,84.95656704,50.1361573,82.79614475,47.74027232,59.04221084,76.95822395,53.09779758,38.02078041,74.17801551,66.7941602,30.70165381,69.79556098,48.316056,63.12112385,56.93785488,52.6636628,58.90022349,50.96999796,58.99111579,65.7161792,37.25581747,74.56914221,77.01991037,59.8148371,90.05424945,47.471714,77.50650168,57.99790004,55.74865639,50.649433,57.64150277,59.23236333,57.47449164,60.33218782,85.18544084,51.62464524,65.39248975,55.39678558,49.22558125,59.51014371,46.56538362,103.3408814,63.71105853,71.66893999,73.19844462,40.99708912,84.98649056,45.87759187,65.5407888
2021-10-01,45.25894244,76.04752763,57.52609552,72.16527517,70.12386774,50.57757439,34.64625895,49.23891422,41.3412491,55.6425062,49.87219206,71.50998667,47.63079045,69.29411713,108.6946154,57.12643055,71.53255781,15.92822685,64.56311679,62.89208401,61.40299223,39.57135804,78.27402385,100.5126884,58.78255874,97.61388466,47.1737028,62.57040612,84.61337671,54.84090109,41.08404092,70.37827713,64.20370276,33.26234681,76.12266279,48.5980494,59.827626,53.84265052,58.94060399,64.85536014,45.03753753,69.34144096,69.7544687,41.15119571,75.67073834,86.46104486,60.90135622,78.12133561,50.3472003,79.32118917,77.49602244,51.95820928,59.55027895,56.18435976,56.87295885,75.67993676,52.5855116,81.71156719,54.90781474,65.95897966,51.05559891,52.73005936,64.70016637,44.20501775,78.04724783,65.20203266,66.61226935,83.85157923,41.39989222,86.98530936,42.04469959,68.87329623
2021-11-01,49.80175675,77.41199228,58.77057561,73.42737442,82.28679069,47.21036387,34.96772769,70.01290014,44.44851369,53.26515041,47.92877102,70.96066885,58.18587444,69.72133315,86.06332672,46.0924025,71.40989919,27.25306124,60.18390884,62.99918739,61.27325761,42.21590553,103.1211609,95.27274792,54.7030198,98.40827165,49.74090379,75.83809282,90.91362267,53.13827318,44.9117781,78.36030117,73.21286343,34.54507789,71.728379,48.14151498,54.78152605,56.55196583,55.80727025,71.23771439,49.24925835,73.47445475,66.89426648,37.00760004,74.96898349,91.91352466,56.82886472,87.80076643,54.30382083,79.79267955,61.9026748,67.92994581,68.68750569,70.27905449,63.58533535,32.22106262,55.05462953,81.34141578,56.52912384,70.58121685,56.39335241,43.32862446,60.46523699,42.73197472,102.1515384,67.60441963,80.6188618,85.0534901,36.91752645,87.51346097,51.09945893,73.48589745
2021-12-01,48.18994437,80.34597981,59.369432,71.69699637,83.90907852,42.81676582,37.35286287,46.06846397,40.64922044,56.05382806,52.2985916,67.97058339,63.85914028,63.30923975,95.37086781,41.42565373,62.98294757,24.54112036,59.13168388,62.10893367,56.03240612,52.59679854,117.2612903,95.98261328,61.713237,109.9218357,54.30205091,80.57529988,89.0302368,60.11938975,45.79420883,82.34361574,72.56731211,34.00323872,71.31353441,55.9856375,59.7098528,57.79139746,63.16510732,74.56594756,52.49833641,84.6380338,64.67018819,39.8649061,78.09196161,80.83035649,53.38144951,73.55466311,49.82264671,58.89962465,44.82159821,61.67637609,52.59249106,68.01313215,70.08888257,55.61552178,64.58069953,73.62424376,53.76042668,79.98850002,50.856058,48.46101905,61.20790859,44.2259463,78.0427496,84.42749885,82.83787205,82.12539694,37.48198869,93.9230471,52.15795542,84.36398236
2022-01-01,30.51216928,54.58838917,47.12418965,59.67552764,69.62565852,44.69780567,25.24863019,31.4584423,34.60534338,59.06902181,50.83351363,67.11806246,53.15090147,49.56084324,97.20599291,52.80030001,43.92646855,20.95597144,56.39605569,50.46725346,34.20396754,27.79796326,104.6108101,63.63546984,44.06118297,64.50784885,32.16459452,51.2244884,54.88152824,48.86171282,34.39804935,70.56874544,52.39141278,22.40337686,60.39236579,39.14535375,50.16024087,39.48301586,29.47450146,52.10637554,32.75655497,39.27975165,49.73389105,32.53637489,45.41175004,59.75429556,43.20889046,42.91714726,24.90061936,43.22505508,26.49868397,21.50875392,25.35818876,53.4419092,42.88102155,90.85754107,86.41406213,56.97893477,34.31153072,53.44750161,31.02997042,25.6294742,56.10657998,39.22186508,67.73693408,74.38556351,50.42782129,54.33464383,28.26000902,78.02367292,39.83239815,42.82286178
2022-02-01,43.09626082,68.6627594,58.88995188,69.41586068,68.61071131,52.37300122,33.75936625,34.83332199,47.40899082,60.62299797,64.86217012,76.20506981,67.6084859,64.35723557,118.8947413,66.484595,62.53201279,24.80815172,65.84844296,59.48609058,48.08492446,36.94451351,101.3336025,71.93279053,51.61410032,82.61309078,46.42187358,69.02343811,71.74060972,54.76454886,40.7066476,80.34629572,66.79344736,33.60780925,69.18457406,48.67121894,59.6055757,62.30714766,42.33350879,58.07721984,53.32704044,59.49529312,60.31054756,39.37469754,66.83305004,87.73331011,57.84248714,62.06563232,40.70691727,58.77155435,42.57696067,41.86097195,47.09453342,71.76108171,53.51221829,60.11599441,98.85674502,66.17582782,46.79347996,69.21047524,48.75582967,31.9202072,65.73682578,46.87723942,79.9056436,76.51511468,78.66943868,70.42210484,44.68539205,98.57367616,39.44714825,63.18657585
2022-03-01,51.61332284,73.99895461,62.72585863,74.26622731,69.87403359,64.66427601,34.71615073,49.53157988,47.93196988,54.06178266,55.14389257,72.83500362,88.6372139,54.05289627,137.6265059,69.9062878,68.19933349,30.94440566,67.01329174,67.98644886,55.65769668,40.50406329,78.79688044,79.55881449,56.92158317,84.27533833,60.78924894,69.28478277,70.73932282,60.45930507,44.12675336,86.09902737,67.40117953,38.19239564,68.64328344,57.10983051,69.36896377,66.92115491,54.21923699,66.17265694,59.94464007,64.09798182,62.51177239,39.54904289,76.31868754,91.31090992,58.03669659,72.0282723,53.19548654,53.16069259,54.36545308,61.42500492,59.6057732,74.58029238,64.48429521,71.34685393,87.15800461,69.2209203,59.798352,75.11050901,60.26068817,49.30715926,61.93478775,41.51666178,96.37292166,82.84228628,77.29721905,79.17141658,52.03602018,99.06749689,46.91930274,77.08606833
2022-04-01,54.12251982,78.96992485,65.93800862,72.79498207,77.94391542,63.97388073,39.42553586,64.56685158,49.92253854,68.11024341,58.29292783,75.44503217,83.27853439,57.2586185,118.0570888,64.20322885,74.49933997,40.85922111,66.523368,71.99617181,56.99510709,45.98447649,74.12397521,82.46635086,59.26712481,84.19504269,62.96910793,81.11482313,79.81453585,68.21559939,48.83240194,88.5256073,74.05095415,42.20774096,72.39731091,59.09022344,76.02057663,59.8922975,63.08734291,66.85284465,60.21376716,71.91631769,66.9456473,39.38148508,77.99657615,95.13289548,58.40380949,75.50093081,54.57593827,47.24858454,51.82296088,64.25721653,51.28769995,71.91405532,69.54541178,72.85930814,79.13438851,72.75848742,68.98634422,79.99267857,59.13711595,56.66509061,60.91858642,51.81781912,84.07839359,91.66134689,81.34343388,92.06576343,54.57897974,109.4548179,46.9112048,79.57772157
2022-05-01,55.8797912,82.9763483,64.51463781,71.758996,73.86015626,55.6803197,40.24181562,43.32906088,49.10784206,63.70311546,76.7510392,74.75419736,80.35475671,61.90071452,123.3575769,54.87825356,68.39264362,45.71270472,67.19840364,57.83686496,54.74652508,46.19322367,76.39336232,92.0187636,47.82568796,106.0164883,66.06183017,85.43120248,86.09967224,70.1402357,49.83155069,96.61997547,82.16576647,45.59736785,81.45519432,58.40210796,73.75339808,60.89857303,59.09239085,83.52394989,54.60268183,67.62325784,65.89924602,45.78328796,82.79894343,91.37147506,49.65482099,64.98990826,51.59215156,60.94701648,46.27547844,51.37646623,48.98166402,64.23591971,69.67051813,77.50313241,56.03119662,79.60397268,63.33407046,82.65288741,65.19791637,41.78283828,64.47611476,52.30862053,90.58282564,95.96134995,83.53570119,98.32299514,60.25069953,110.3566781,55.53329384,84.84444342
